Year,Statistic,Name,Team,#
1927,Base on Balls,Rogers Hornsby,Boston,86
1927,Batting Average,Paul Waner,Pittsburgh,.380
1927,Doubles,Riggs Stephenson,Chicago,46
1927,Hits,Paul Waner,Pittsburgh,237
1927,Home Runs,Cy Williams,Philadelphia,30
1927,On Base Percentage,Rogers Hornsby,New York,.448
1927,RBI,Paul Waner,Pittsburgh,131
1927,Runs,Rogers Hornsby,New York,133
1927,Slugging Average,Chick Hafey,St. Louis,.590
1927,Stolen Bases,Frankie Frisch,St. Louis,48
1927,Total Bases,Paul Waner,Pittsburgh,342
1927,Triples,Paul Waner,Pittsburgh,18
1927,Statistic,Name(s),Team(s),#
