Year,Statistic,Name,Team,#
1994,Base on Balls,Barry Bonds,San Francisco,74
1994,Batting Average,Tony Gwynn,San Diego,.394
1994,Doubles,Craig Biggio,Houston,44
1994,Hits,Tony Gwynn,San Diego,165
1994,Home Runs,Matt Williams,San Francisco,43
1994,On Base Percentage,Jeff Bagwell,Houston,.461
1994,RBI,Jeff Bagwell,Houston,116
1994,Runs,Jeff Bagwell,Houston,104
1994,Slugging Average,Jeff Bagwell,Houston,.750
1994,Stolen Bases,Craig Biggio,Houston,39
1994,Total Bases,Jeff Bagwell,Houston,300
1994,Triples,Brett Butler,Los Angeles,9
1994,Statistic,Name,Team,#
