Date,Description,Year
July 13,"th, Harry Staley and Pud Galvin of the Pittsburgh Alleghenys became the first pitchers ever to combine for a double-header shutout after blanking Boston 4-0 and 6-0.",1888
August 3,", Sliding Billy Hamilton steals his first Major League base and continues swiping until he reaches the ""impossible to break"" record of nine-hundred twelve. The record is ""in the books"" until Lou Brock surpasses it in 1979.",1888
