Year,Statistic,Name,Team,#
1939,Base on Balls,Dolph Camilli,Brooklyn,110
1939,Batting Average,Johnny Mize,St. Louis,.349
1939,Doubles,Enos Slaughter,St. Louis,52
1939,Hits,Frank McCormick,Cincinnati,209
1939,Home Runs,Johnny Mize,St. Louis,28
1939,On Base Percentage,Mel Ott,New York,.449
1939,RBI,Frank McCormick,Cincinnati,128
1939,Runs,Billy Werber,Cincinnati,115
1939,Slugging Average,Johnny Mize,St. Louis,.626
1939,Stolen Bases,Stan Hack,Chicago,17
1939,Total Bases,Johnny Mize,St. Louis,353
1939,Triples,Billy Herman,Chicago,18
1939,Statistic,Name(s),Team(s),#
