Year,Statistic,Name,Team,#
1972,Base on Balls,Joe Morgan,Cincinnati,115
1972,Batting Average,Billy Williams,Chicago,.333
1972,Doubles,Cesar Cedeno,Houston,39
1972,Hits,Pete Rose,Cincinnati,198
1972,Home Runs,Johnny Bench,Cincinnati,40
1972,On Base Percentage,Joe Morgan,Cincinnati,.419
1972,RBI,Johnny Bench,Cincinnati,125
1972,Runs,Joe Morgan,Cincinnati,122
1972,Slugging Average,Billy Williams,Chicago,.606
1972,Stolen Bases,Lou Brock,St. Louis,63
1972,Total Bases,Billy Williams,Chicago,348
1972,Triples,Larry Bowa,Philadelphia,13
1972,Statistic,Name(s),Team(s),#
