Date,Description,Year
August 17,"th, Willie Mays hit his six-hundred sixtieth (and final) home run off of the Cincinnati Reds' Don Gullett. Unfortunately the New York Mets fell 2-1, remaining seven and a half games back in last place. Somehow, Yogi Berra and his ""Miracle"" Mets managed to climb back to the top and won the National League East pennant on October 1st despite having no .300 hitters and no pitchers with more than nineteen wins.",1973
August 5,", the New York Mets lost a game to the St. Louis Cardinals and were in last place in the National League East. On September 21, 1973, the Mets defeated the Pirates 10-2 and took over first place in the second coming of the Miracle Mets.",1973
