Year,Statistic,Name,Team,#
1933,Base on Balls,Mel Ott,New York,75
1933,Batting Average,Chuck Klein,Philadelphia,.368
1933,Doubles,Chuck Klein,Philadelphia,44
1933,Hits,Chuck Klein,Philadelphia,223
1933,Home Runs,Chuck Klein,Philadelphia,28
1933,On Base Percentage,Chuck Klein,Philadelphia,.422
1933,RBI,Chuck Klein,Philadelphia,120
1933,Runs,Pepper Martin,St. Louis,122
1933,Slugging Average,Chuck Klein,Philadelphia,.602
1933,Stolen Bases,Pepper Martin,St. Louis,26
1933,Total Bases,Chuck Klein,Philadelphia,365
1933,Triples,Arky Vaughan,Pittsburgh,19
1933,Statistic,Name(s),Team(s),#
