Date,Description,Year
April 18,"th, Cleveland Indian's centerfielder Tris Speaker turned an unassisted double play against the Detroit Tigers. Eleven days later, Speaker duplicated the feat against Chicago for the fourth solo-DP of his career and a franchise record that he would later share with teammate Elmer Smith.",1918
October 5,"th, National League infielder Eddie Grant became the first Major League player killed in wartime action while leading a mission in the Argonne Forest offensive to rescue the ""Lost Battalion"" who was trapped behind German lines. Other players killed in WWI included Alex Burr, Larry Chappell, Ralph Sharman, and Bun Troy.",1918
July 17,", the Chicago Cubs and Philadelphia Phillies play a twenty-one inning marathon game in Weeghman Park. The Phillies set a new record for longest regular season game without a single error.",1918
