Year,Statistic,Name,Team,#
1921,Base on Balls,George Burns,New York,80
1921,Batting Average,Rogers Hornsby,St. Louis,.397
1921,Doubles,Rogers Hornsby,St. Louis,44
1921,Hits,Rogers Hornsby,St. Louis,235
1921,Home Runs,George Kelly,New York,23
1921,On Base Percentage,Rogers Hornsby,St. Louis,.458
1921,RBI,Rogers Hornsby,St. Louis,126
1921,Runs,Rogers Hornsby,St. Louis,131
1921,Slugging Average,Rogers Hornsby,St. Louis,.639
1921,Stolen Bases,Frankie Frisch,New York,49
1921,Total Bases,Rogers Hornsby,St. Louis,378
1921,Triples,Rogers Hornsby,St. Louis,18
1921,Statistic,Name(s),Team(s),#
