Year,Statistic,Name,Team,#
1947,Base on Balls,Hank Greenberg,Pittsburgh,104
1947,Batting Average,Harry Walker,St. Louis,.363
1947,Doubles,Eddie Miller,Cincinnati,38
1947,Hits,Tommy Holmes,Boston,191
1947,Home Runs,Ralph Kiner,Pittsburgh,51
1947,On Base Percentage,Augie Galan,Cincinnati,.449
1947,RBI,Johnny Mize,New York,138
1947,Runs,Johnny Mize,New York,137
1947,Slugging Average,Ralph Kiner,Pittsburgh,.639
1947,Stolen Bases,Jackie Robinson,Brooklyn,29
1947,Total Bases,Ralph Kiner,Pittsburgh,361
1947,Triples,Harry Walker,St. Louis,16
1947,Statistic,Name(s),Team(s),#
