Year,Statistic,Name,Team,#
1920,Base on Balls,George Burns,New York,76
1920,Batting Average,Rogers Hornsby,St. Louis,.370
1920,Doubles,Rogers Hornsby,St. Louis,44
1920,Hits,Rogers Hornsby,St. Louis,218
1920,Home Runs,Cy Williams,Philadelphia,15
1920,On Base Percentage,Rogers Hornsby,St. Louis,.431
1920,RBI,Rogers Hornsby,St. Louis,94
1920,Runs,George Burns,New York,115
1920,Slugging Average,Rogers Hornsby,St. Louis,.559
1920,Stolen Bases,Max Carey,Pittsburgh,52
1920,Total Bases,Rogers Hornsby,St. Louis,329
1920,Triples,Hy Myers,Brooklyn,22
1920,Statistic,Name(s),Team(s),#
