Year,Statistic,Name,Team,#
2022,Base on Balls,Juan Soto,Washington Nationals,135
2022,Batting Average,Jeff McNeil,New York Mets,.326
2022,Doubles,Freddie Freeman,Los Angeles Dodgers,44
2022,Hits,Freddie Freeman,Los Angeles Dodgers,11
2022,Home Runs,Kyle Schwarber,Philadelphia Phillies,46
2022,On Base Percentage,Freddie Freeman,Los Angeles Dodgers,.407
2022,RBI,Pete Alonso,New York Mets,131
2022,Runs,Mookie Betts,Los Angeles Dodgers,117
2022,Slugging Average,Paul Goldschmidt,St. Louis Cardinals,.578
2022,Stolen Bases,Jon Berti,Miami Marlins,41
2022,Total Bases,Austin Riley,Atlanta Braves,325
2022,Triples,Gavin Lux,Los Angeles Dodgers,7
2022,Statistic,Name,Team,#
