Year,Statistic,Name,Team,#
1919,Base on Balls,George Burns,New York,82
1919,Batting Average,Edd Roush,Cincinnati,.321
1919,Doubles,Ross Youngs,New York,31
1919,Hits,Ivy Olson,Brooklyn,164
1919,Home Runs,Gavvy Cravath,Philadelphia,12
1919,On Base Percentage,George Burns,New York,.396
1919,RBI,Hy Myers,Brooklyn,73
1919,Runs,George Burns,New York,86
1919,Slugging Average,Hy Myers,Brooklyn,.436
1919,Stolen Bases,George Burns,New York,40
1919,Total Bases,Hy Myers,Brooklyn,223
1919,Triples,Hy Myers,Brooklyn,14
1919,Statistic,Name(s),Team(s),#
