Year,Statistic,Name,Team,#
2006,Base on Balls,Barry Bonds,San Francisco,115
2006,Batting Average,Freddy Sanchez,Pittsburgh,.344
2006,Doubles,Freddy Sanchez,Pittsburgh,53
2006,Hits,Juan Pierre,Chicago,204
2006,Home Runs,Ryan Howard,Philadelphia,58
2006,On Base Percentage,Barry Bonds *,San Francisco,.454
2006,RBI,Ryan Howard,Philadelphia,149
2006,Runs,Chase Utley,Philadelphia,131
2006,Slugging Average,Albert Pujols,St. Louis,.671
2006,Stolen Bases,Jose Reyes,New York,64
2006,Total Bases,Ryan Howard,Philadelphia,383
2006,Triples,Jose Reyes,New York,17
2006,Statistic,Name,Team,#
