Year,Statistic,Name,Team,#
1980,Base on Balls,Dan Driessen,Cincinnati,93
1980,Batting Average,Bill Buckner,Chicago,.324
1980,Doubles,Pete Rose,Philadelphia,42
1980,Hits,Steve Garvey,Los Angeles,200
1980,Home Runs,Mike Schmidt,Philadelphia,48
1980,On Base Percentage,Keith Hernandez,St. Louis,.410
1980,RBI,Mike Schmidt,Philadelphia,121
1980,Runs,Keith Hernandez,St. Louis,111
1980,Slugging Average,Mike Schmidt,Philadelphia,.624
1980,Stolen Bases,Ron LeFlore,Montreal,97
1980,Total Bases,Mike Schmidt,Philadelphia,342
1980,Triples,Omar Moreno,Pittsburgh,13
1980,Statistic,Name(s),Team(s),#
