Year,Statistic,Name,Team,#
1987,Base on Balls,Jack Clark,St. Louis,136
1987,Batting Average,Tony Gwynn,San Diego,.370
1987,Doubles,Tim Wallach,Montreal,42
1987,Hits,Tony Gwynn,San Diego,218
1987,Home Runs,Andre Dawson,Chicago,49
1987,On Base Percentage,Jack Clark,St. Louis,.461
1987,RBI,Andre Dawson,Chicago,137
1987,Runs,Tim Raines,Montreal,123
1987,Slugging Average,Jack Clark,St. Louis,.597
1987,Stolen Bases,Vince Coleman,St. Louis,109
1987,Total Bases,Andre Dawson,Chicago,353
1987,Triples,Juan Samuel,Philadelphia,15
1987,Statistic,Name(s),Team(s),#
