Year,Statistic,Name,Team,#
1941,Complete Games,Bucky Walters,Cincinnati,27
1941,ERA,Elmer Riddle,Cincinnati,2.24
1941,Games,Kirby Higbe,Brooklyn,48
1941,Saves,Jumbo Brown,New York,8
1941,Shutouts,Whit Wyatt,Brooklyn,7
1941,Strikeouts,Johnny Vander Meer,Cincinnati,202
1941,Winning Percentage,Elmer Riddle,Cincinnati,.826
1941,Wins,Kirby Higbe,Brooklyn,22
1941,Statistic,Name(s),Team(s),#
