Year,Statistic,Name,Team,#
1962,Base on Balls,Eddie Mathews,Milwaukee,101
1962,Batting Average,Tommy Davis,Los Angeles,.346
1962,Doubles,Frank Robinson,Cincinnati,51
1962,Hits,Tommy Davis,Los Angeles,230
1962,Home Runs,Willie Mays,San Francisco,49
1962,On Base Percentage,Frank Robinson,Cincinnati,.424
1962,RBI,Tommy Davis,Los Angeles,153
1962,Runs,Frank Robinson,Cincinnati,134
1962,Slugging Average,Frank Robinson,Cincinnati,.624
1962,Stolen Bases,Maury Wills,Los Angeles,104
1962,Total Bases,Willie Mays,San Francisco,382
1962,Triples,JohnnyCallison,Philadelphia,10
1962,Statistic,Name(s),Team(s),#
