Year,Statistic,Name,Team,#
1896,Base on Balls,Billy Hamilton,Boston,110
1896,Batting Average,Jesse Burkett,Cleveland,.410
1896,Doubles,Ed Delahanty,Philadelphia,44
1896,Hits,Jesse Burkett,Cleveland,240
1896,Home Runs,Ed Delahanty,Philadelphia,13
1896,On Base Percentage,Billy Hamilton,Boston,.478
1896,RBI,Ed Delahanty,Philadelphia,126
1896,Runs,Jesse Burkett,Cleveland,160
1896,Slugging Average,Ed Delahanty,Philadelphia,.631
1896,Stolen Bases,Joe Kelley,Baltimore,87
1896,Total Bases,Jesse Burkett,Cleveland,317
1896,Triples,Tom McCreery,Louisville,21
1896,Statistic,Name(s),Team(s),#
