Year,Statistic,Name,Team,#
1906,Base on Balls,Roy Thomas,Philadelphia,107
1906,Batting Average,Honus Wagner,Pittsburgh,.339
1906,Doubles,Honus Wagner,Pittsburgh,38
1906,Hits,Harry Steinfeldt,Chicago,176
1906,Home Runs,Tim Jordan,Brooklyn,12
1906,On Base Percentage,Roger Bresnahan,New York,.419
1906,RBI,Jim Nealon,Pittsburgh,83
1906,Runs,Frank Chance,Chicago,103
1906,Slugging Average,Harry Lumley,Brooklyn,.477
1906,Stolen Bases,Frank Chance,Chicago,57
1906,Total Bases,Honus Wagner,Pittsburgh,237
1906,Triples,Fred Clarke,Pittsburgh,13
1906,Statistic,Name(s),Team(s),#
