Year,Statistic,Name,Team,#
2001,Base on Balls,Barry Bonds,San Francisco,177
2001,Batting Average,Larry Walker,Colorado,.350
2001,Doubles,Lance Berkman,Houston,55
2001,Hits,Rich Aurilia,San Francisco,206
2001,Home Runs,Barry Bonds,San Francisco,73
2001,On Base Percentage,Barry Bonds,San Francisco,.515
2001,RBI,Sammy Sosa,Chicago,160
2001,Runs,Sammy Sosa,Chicago,146
2001,Slugging Average,Barry Bonds,San Francisco,.863
2001,Stolen Bases,Juan Pierre,Colorado,46
2001,Total Bases,Sammy Sosa,Chicago,425
2001,Triples,Jimmy Rollins,Philadelphia,12
2001,Statistic,Name,Team,#
