Year,Statistic,Name,Team,#
1885,Complete Games,John Clarkson,Chicago,68
1885,ERA,Tim Keefe,New York,1.58
1885,Games,John Clarkson,Chicago,70
1885,Saves,Fred Pfeffer,Chicago,2
1885,Shutouts,John Clarkson,Chicago,10
1885,Strikeouts,John Clarkson,Chicago,308
1885,Winning Percentage,Mickey Welch,New York,.800
1885,Wins,John Clarkson,Chicago,53
1885,Statistic,Name(s),Team(s),#
