Year,Statistic,Name,Team,#
1897,Base on Balls,Billy Hamilton,Boston,105
1897,Batting Average,Willie Keeler,Baltimore,.424
1897,Doubles,Jake Stenzel,Baltimore,43
1897,Hits,Willie Keeler,Baltimore,239
1897,Home Runs,Hugh Duffy,Boston,11
1897,On Base Percentage,John McGraw,Baltimore,.471
1897,RBI,George Davis,New York,136
1897,Runs,Billy Hamilton,Boston,152
1897,Slugging Average,Nap Lajoie,Philadelphia,.569
1897,Stolen Bases,Bill Lange,Chicago,73
1897,Total Bases,Nap Lajoie,Philadelphia,310
1897,Triples,Harry Davis,Pittsburgh,28
1897,Statistic,Name(s),Team(s),#
