Year,Statistic,Name,Team,#
1965,Base on Balls,Joe Morgan,Houston,97
1965,Batting Average,Roberto Clemente,Pittsburgh,.329
1965,Doubles,Hank Aaron,Milwaukee,40
1965,Hits,Pete Rose,Cincinnati,209
1965,Home Runs,Willie Mays,San Francisco,52
1965,On Base Percentage,Willie Mays,San Francisco,.399
1965,RBI,Deron Johnson,Cincinnati,130
1965,Runs,Tommy Harper,Cincinnati,126
1965,Slugging Average,Willie Mays,San Francisco,.645
1965,Stolen Bases,Maury Wills,Los Angeles,94
1965,Total Bases,Willie Mays,San Francisco,360
1965,Triples,Johnny Callison,Philadelphia,16
1965,Statistic,Name(s),Team(s),#
