Year,Statistic,Name,Team,#
2019,Base on Balls,Rhys Hoskins,Philadelphia Phillies,116
2019,Batting Average,Christian Yelich,Milwaukee Brewers,.329
2019,Doubles,Anthony Rendon,Washington Nationals,44
2019,Hits,Ozzie Albies,Atlanta Braves,189
2019,Home Runs,Pete Alonso,New York Mets,53
2019,On Base Percentage,Christian Yelich,Milwaukee Brewers,.429
2019,RBI,Anthony Rendon,Washington Nationals,126
2019,Runs,Ronald Acuna Jr.,Atlanta Braves,127
2019,Slugging Average,Christian Yelich,Milwaukee Brewers,.671
2019,Stolen Bases,Ronald Acuna Jr.,Atlanta Braves,37
2019,Total Bases,Cody Bellinger,Los Angeles Dodgers,351
2019,Triples,Eduardo Escobar,Arizona Diamondbacks,10
2019,Statistic,Name,Team,#
