Year,Statistic,Name,Team,#
2004,Base on Balls,Barry Bonds,San Francisco,232
2004,Batting Average,Barry Bonds,San Francisco,.362
2004,Doubles,Lyle Overbay,Milwaukee,53
2004,Hits,Juan Pierre,Florida,221
2004,Home Runs,Adrian Beltre,Los Angeles,48
2004,On Base Percentage,Barry Bonds,San Francisco,.609
2004,RBI,Vinny Castilla,Colorado,131
2004,Runs,Albert Pujols,St. Louis,133
2004,Slugging Average,Barry Bonds,San Francisco,.812
2004,Stolen Bases,Scott Podsednik,Milwaukee,70
2004,Total Bases,Albert Pujols,St. Louis,389
2004,Triples,Juan Pierre,Florida,12
2004,Statistic,Name,Team,#
