Year,Statistic,Name,Team,#
1905,Base on Balls,Miller Huggins,Cincinnati,103
1905,Batting Average,Cy Seymour,Cincinnati,.377
1905,Doubles,Cy Seymour,Cincinnati,40
1905,Hits,Cy Seymour,Cincinnati,219
1905,Home Runs,Fred Odwell,Cincinnati,9
1905,On Base Percentage,Frank Chance,Chicago,.450
1905,RBI,Cy Seymour,Cincinnati,121
1905,Runs,Mike Donlin,New York,124
1905,Slugging Average,Cy Seymour,Cincinnati,.325
1905,Stolen Bases,Art Devlin,New York,59
1905,Total Bases,Cy Seymour,Cincinnati,325
1905,Triples,Cy Seymour,Cincinnati,21
1905,Statistic,Name(s),Team(s),#
