Year,Statistic,Name,Team,#
1999,Base on Balls,Jeff Bagwell,Houston,149
1999,Batting Average,Larry Walker,Colorado,.379
1999,Doubles,Craig Biggio,Houston,56
1999,Hits,Luis Gonzalez,Arizona,206
1999,Home Runs,Mark McGwire,St. Louis,65
1999,On Base Percentage,Larry Walker,Colorado,.458
1999,RBI,Mark McGwire,St. Louis,147
1999,Runs,Jeff Bagwell,Houston,143
1999,Slugging Average,Larry Walker,Colorado,.710
1999,Stolen Bases,Tony Womack,Arizona,72
1999,Total Bases,Sammy Sosa,Chicago,397
1999,Triples,Bobby Abreu,Philadelphia,11
1999,Statistic,Name,Team,#
