Year,Statistic,Name,Team,#
1989,Base on Balls,Jack Clark,San Diego,132
1989,Batting Average,Tony Gwynn,San Diego,.336
1989,Doubles,Pedro Guerrero,St. Louis,42
1989,Hits,Tony Gwynn,San Diego,203
1989,Home Runs,Kevin Mitchell,San Francisco,47
1989,On Base Percentage,Lonnie Smith,Atlanta,.420
1989,RBI,Kevin Mitchell,San Francisco,125
1989,Runs,Howard Johnson,New York,104
1989,Slugging Average,Kevin Mitchell,San Francisco,.635
1989,Stolen Bases,Vince Coleman,St. Louis,65
1989,Total Bases,Kevin Mitchell,San Francisco,345
1989,Triples,Robby Thompson,San Francisco,11
1989,Statistic,Name(s),Team(s),#
