Year,Statistic,Name,Team,#
1955,Base on Balls,Eddie Mathews,Milwaukee,109
1955,Batting Average,Richie Ashburn,Philadelphia,.338
1955,Doubles,Hank Aaron,Milwaukee,37
1955,Hits,Ted Kluszewski,Cincinnati,192
1955,Home Runs,Willie Mays,New York,51
1955,On Base Percentage,Richie Ashburn,Philadelphia,.449
1955,RBI,Duke Snider,Brooklyn,136
1955,Runs,Duke Snider,Brooklyn,126
1955,Slugging Average,Willie Mays,New York,.659
1955,Stolen Bases,Bill Bruton,Milwaukee,25
1955,Total Bases,Willie Mays,New York,382
1955,Triples,Dale Long,Pittsburgh,13
1955,Statistic,Name(s),Team(s),#
