Date,Description,Year
May 6,"th, the Chicago White Sox committed twelve errors, and the Detroit Tigers answered back with six of their own. The combined ""18-E debacle"" set a modern Major League record for the most errors (by two teams) in a single game.",1903
June 25,", Wiley Piatt of the Boston Beaneaters pitched two complete games in one day versus Pittsburgh, and lost them both.",1903
