Year,Statistic,Name,Team,#
1902,Base on Balls,Roy Thomas,Philadelphia,107
1902,Batting Average,Ginger Beaumont,Pittsburgh,.357
1902,Doubles,Honus Wagner,Pittsburgh,30
1902,Hits,Ginger Beaumont,Pittsburgh,193
1902,Home Runs,Tommy Leach,Pittsburgh,6
1902,On Base Percentage,Roy Thomas,Philadelphia,.414
1902,RBI,Honus Wagner,Pittsburgh,91
1902,Runs,Honus Wagner,Pittsburgh,105
1902,Slugging Average,Honus Wagner,Pittsburgh,.463
1902,Stolen Bases,Honus Wagner,Pittsburgh,42
1902,Total Bases,Sam Crawford,Cincinnati,256
1902,Triples,Sam Crawford,Cincinnati,22
1902,Statistic,Name(s),Team(s),#
