Year,Statistic,Name,Team,#
1898,Base on Balls,John McGraw,Baltimore,112
1898,Batting Average,Willie Keeler,Baltimore,.385
1898,Doubles,Nap Lajoie,Philadelphia,43
1898,Hits,Willie Keeler,Baltimore,216
1898,Home Runs,Jimmy Collins,Boston,15
1898,On Base Percentage,Billy Hamilton,Boston,.480
1898,RBI,Nap Lajoie,Philadelphia,127
1898,Runs,John McGraw,Baltimore,143
1898,Slugging Average,John Anderson,Brooklyn,.494
1898,Stolen Bases,Ed Delahanty,Philadelphia,58
1898,Total Bases,Jimmy Collins,Boston,286
1898,Triples,John Anderson,Brooklyn,22
1898,Statistic,Name(s),Team(s),#
