Year,Statistic,Name,Team,#
1880,Base on Balls,Bob Ferguson,Troy,24
1880,Batting Average,George Gore,Chicago,.360
1880,Doubles,Fred Dunlap,Cleveland,27
1880,Hits,Abner Dalrymple,Chicago,126
1880,Home Runs,Jim O'Rourke,Boston,6
1880,On Base Percentage,George Gore,Chicago,.399
1880,RBI,Cap Anson,Chicago,74
1880,Runs,Abner Dalrymple,Chicago,91
1880,Slugging Average,George Gore,Chicago,.463
1880,Total Bases,Abner Dalrymple,Chicago,175
1880,Triples,Harry Stovey,Worcester,14
1880,Statistic,Name(s),Team(s),#
