Year,Statistic,Name,Team,#
1997,Base on Balls,Barry Bonds,San Francisco,145
1997,Batting Average,Tony Gwynn,San Diego,.372
1997,Doubles,Mark Grudzielanek,Montreal,54
1997,Hits,Tony Gwynn,San Diego,220
1997,Home Runs,Larry Walker,Colorado,49
1997,On Base Percentage,Larry Walker,Colorado,.455
1997,RBI,Andres Galarraga,Colorado,140
1997,Runs,Craig Biggio,Houston,146
1997,Slugging Average,Larry Walker,Colorado,.720
1997,Stolen Bases,Tony Womack,Pittsburgh,60
1997,Total Bases,Larry Walker,Colorado,409
1997,Triples,Delino DeShields,St. Louis,14
1997,Statistic,Name,Team,#
