Date,Description,Year
October 17,"th as 60,000+ Giants and A's fans inside Candlestick Park anxiously awaited the start of Game 3 of the World Series, an earthquake measuring 6.9 on the Richter scale shook the San Francisco area killing sixty-seven people and causing nearly $10 billion in damages.",1989
June 27,"th, Frank Robinson's Baltimore Orioles went up against Cito Gaston's Toronto Blue Jays for the first meeting in Major League history between two black managers. The Orioles went on to dominate the outing 16-6.",1989
June 3,"rd, the Houston Astros and Los Angeles Dodgers battled for twenty-two innings in a seven hour, fourteen minute marathon that set the all-time record for the longest night game in National League history. As Saturday rolled into Sunday, the home team managed to break the stalemate for a 5-4 victory courtesy of an unlikely hero. Originally slated as a starting pitcher for the following days outing, Mike Scott was sent home to rest before the game went into extra innings. As the contest wore on, he was eventually called back to the Astrodome and ended up pinch-hitting for his exhausted teammates. Drafted by the New York Mets in the 2nd round of the 1976 amateur draft, the right-hander had never been known for his skills at the plate. Statistics meant nothing though as Scott surprised everyone in attendance with a clutch, sacrifice-fly that ended the game. Both teams (and fans) staggered out of the ballpark, but returned a few hours later for an afternoon game that had already been scheduled. Amazingly, both opponents went toe-to-toe again for another thirteen-inning marathon that ended with a second Astros' victory (7-6). As 1989 was not exactly a banner year for the Houston franchise, the two-day, and thirty-five inning series was an exhilarating highlight for both the players, as well as the fans.",1989
September 1,"st, Commissioner A. Bartlett Giamatti died at age fifty-one of an apparent heart attack while vacationing at his summer cottage in Martha's Vineyard. He became only the second Major League Baseball Commissioner to die while serving office along with Kenesaw Mountain Landis.",1989
June 3,", the Los Angeles Dodgers played a seven hour fourteen minute losing battle against the Houston Astros. The twenty-two inning game used so many players that their pitching ace, Fernando Valenzuela, was playing first base when the game ended.",1989
July 5,", Barry Bonds hit a home run in a losing effort versus the San Francisco Giants. Bobby Bonds, and his son Barry, now had a combined four-hunded eight home runs to beat the record of four-hundred seven held by the Bell and Berra families.",1989
