Year,Statistic,Name,Team,#
1922,Base on Balls,Max Carey,Pittsburgh,80
1922,Batting Average,Rogers Hornsby,St. Louis,.401
1922,Doubles,Rogers Hornsby,St. Louis,46
1922,Hits,Rogers Hornsby,St. Louis,250
1922,Home Runs,Rogers Hornsby,St. Louis,42
1922,On Base Percentage,Rogers Hornsby,St. Louis,.459
1922,RBI,Rogers Hornsby,St. Louis,152
1922,Runs,Rogers Hornsby,St. Louis,141
1922,Slugging Average,Rogers Hornsby,St. Louis,.722
1922,Stolen Bases,Max Carey,Pittsburgh,51
1922,Total Bases,Rogers Hornsby,St. Louis,450
1922,Triples,Jake Daubert,Cincinnati,22
1922,Statistic,Name(s),Team(s),#
