Year,Statistic,Name,Team,#
1924,Base on Balls,Rogers Hornsby,St. Louis,89
1924,Batting Average,Rogers Hornsby,St. Louis,.424
1924,Doubles,Rogers Hornsby,St. Louis,43
1924,Hits,Rogers Hornsby,St. Louis,227
1924,Home Runs,Jack Fournier,Brooklyn,27
1924,On Base Percentage,Rogers Hornsby,St. Louis,.507
1924,RBI,George Kelly,New York,136
1924,Runs,Frankie Frisch,New York,121
1924,Slugging Average,Rogers Hornsby,St. Louis,.696
1924,Stolen Bases,Max Carey,Pittsburgh,49
1924,Total Bases,Rogers Hornsby,St. Louis,373
1924,Triples,Edd Roush,Cincinnati,21
1924,Statistic,Name(s),Team(s),#
