Date,Description,Year
May 8,", Paul Hines of Providence caught a line drive hit by Jack Burdock of Boston. With runners on second and third he sprinted forward and tagged third base, which was clear of baserunners. To make sure he got the out, he threw the ball to Charlie Sweasy at second base. The play was recorded, unrecorded, and still debated as the first ever unassisted triple play.",1878
July 15,", 18-year old John Ward made his Major League debut for Providence. He lost 13-to-9, but continued to pitch every inning of every game for the rest of the 1878 season.",1878
