Year,Statistic,Name,Team,#
1991,Base on Balls,Brett Butler,Los Angeles,108
1991,Batting Average,Terry Pendleton,Atlanta,.319
1991,Doubles,Bobby Bonilla,Pittsburgh,44
1991,Hits,Terry Pendleton,Atlanta,187
1991,Home Runs,Howard Johnson,New York,38
1991,On Base Percentage,Barry Bonds,Pittsburgh,.419
1991,RBI,Howard Johnson,New York,117
1991,Runs,Brett Butler,Los Angeles,112
1991,Slugging Average,Will Clark,San Francisco,.536
1991,Stolen Bases,Marquis Grissom,Montreal,76
1991,Total Bases,Will Clark,San Francisco,303
1991,Triples,Ray Lankford,St. Louis,15
1991,Statistic,Name,Team,#
