Year,Statistic,Name,Team,#
1942,Base on Balls,Mel Ott,New York,109
1942,Batting Average,Ernie Lombardi *,Boston,.330
1942,Doubles,Marty Marion,St. Louis,38
1942,Hits,Enos Slaughter,St. Louis,188
1942,Home Runs,Mel Ott,New York,30
1942,On Base Percentage,Elbie Fletcher,Pittsburgh,.417
1942,RBI,Johnny Mize,New York,110
1942,Runs,Mel Ott,New York,118
1942,Slugging Average,Johnny Mize,New York,.521
1942,Stolen Bases,Pete Reiser,Brooklyn,20
1942,Total Bases,Enos Slaughter,St. Louis,292
1942,Triples,Enos Slaughter,St. Louis,17
1942,Statistic,Name(s),Team(s),#
