Year,Statistic,Name,Team,#
2005,Base on Balls,Brian Giles,San Diego,119
2005,Batting Average,Derrek Lee,Chicago,.335
2005,Doubles,Derrek Lee,Chicago,50
2005,Hits,Derrek Lee,Chicago,199
2005,Home Runs,Andruw Jones,Atlanta,51
2005,On Base Percentage,Todd Helton,Colorado,.445
2005,RBI,Andruw Jones,Atlanta,128
2005,Runs,Albert Pujols,St. Louis,129
2005,Slugging Average,Derrek Lee,Chicago,.662
2005,Stolen Bases,Jose Reyes,New York,60
2005,Total Bases,Derrek Lee,Chicago,393
2005,Triples,Jose Reyes,New York,17
2005,Statistic,Name,Team,#
