Year,Statistic,Name,Team,#
1968,Base on Balls,Ron Santo,Chicago,96
1968,Batting Average,Pete Rose,Cincinnati,335
1968,Doubles,Lou Brock,St. Louis,46
1968,Hits,Felipe Alou,Atlanta,210
1968,Home Runs,Willie McCovey,San Francisco,36
1968,On Base Percentage,Pete Rose,Cincinnati,.394
1968,RBI,Willie McCovey,San Francisco,105
1968,Runs,Glenn Beckert,Chicago,98
1968,Slugging Average,Willie McCovey,San Francisco,.545
1968,Stolen Bases,Lou Brock,St. Louis,62
1968,Total Bases,Billy Williams,Chicago,321
1968,Triples,Lou Brock,St. Louis,14
1968,Statistic,Name(s),Team(s),#
