Year,Statistic,Name,Team,#
1938,Base on Balls,Dolph Camilli,Brooklyn,119
1938,Batting Average,Ernie Lombardi,Cincinnati,.342
1938,Doubles,Joe Medwick,St. Louis,47
1938,Hits,Frank McCormick,Cincinnati,209
1938,Home Runs,Mel Ott,New York,36
1938,On Base Percentage,Mel Ott,New York,.442
1938,RBI,Joe Medwick,St. Louis,122
1938,Runs,Mel Ott,New York,116
1938,Slugging Average,Johnny Mize,St. Louis,.614
1938,Stolen Bases,Stan Hack,Chicago,16
1938,Total Bases,Johnny Mize,St. Louis,326
1938,Triples,Johnny Mize,St. Louis,16
1938,Statistic,Name(s),Team(s),#
