Year,Statistic,Name,Team,#
1899,Base on Balls,John McGraw,Baltimore,124
1899,Batting Average,Ed Delahanty,Philadelphia,.410
1899,Doubles,Ed Delahanty,Philadelphia,55
1899,Hits,Ed Delahanty,Philadelphia,238
1899,Home Runs,Buck Freeman,Washington,25
1899,On Base Percentage,John McGraw,Baltimore,.547
1899,RBI,Ed Delahanty,Philadelphia,137
1899,Runs,Willie Keeler,Brooklyn,140
1899,Slugging Average,Ed Delahanty,Philadelphia,.582
1899,Stolen Bases,Jimmy Sheckard,Baltimore,77
1899,Total Bases,Ed Delahanty,Philadelphia,338
1899,Triples,Jimmy Williams,Pittsburgh,27
1899,Statistic,Name(s),Team(s),#
