Year,Statistic,Name,Team,#
1887,Base on Balls,Jim Fogarty,Philadelphia,82
1887,Batting Average,Cap Anson,Chicago,.347
1887,Doubles,Dan Brouthers,Detroit,36
1887,Hits,Sam Thompson,Detroit,203
1887,Home Runs,Billy O'Brien,Washington,19
1887,On Base Percentage,Dan Brouthers,Detroit,.426
1887,RBI,Sam Thompson,Detroit,166
1887,Runs,Dan Brouthers,Detroit,153
1887,Slugging Average,Sam Thompson,Detroit,.571
1887,Total Bases,Sam Thompson,Detroit,311
1887,Triples,Sam Thompson,Detroit,23
1887,Statistic,Name(s),Team(s),#
