Date,Description,Year
August 25,"th, the Minnesota Twins and New York Yankees went head-to-head for five hours and thirty-six minutes during a nineteen-inning marathon. Willie Randolph, of the Yanks, set an American League record for extra innings with thirteen assists and twenty chances at second base.",1976
April 17,"th, Mike Schmidt of the Philadelphia Phillies, hit four consecutive homeruns (and a single) accounting for eight runs himself during an 18-16 victory over the Chicago Cubs at Wrigley Field.",1976
July 20,"th, ""Hammerin'"" Hank Aaron hit the 755th and final homerun of his career off the Anaheim Angels' Dick Drago during a 6-2 Milwaukee Brewers' win. The historical moment was soured though after the ball was retrieved by Dick Arndt, a member of the ground crew, who refused to return it to the rightful owner. Arndt was subsequently fired and has since then turned down offers of up to $10,000 from Hank Aaron himself.",1976
August 9,", the Dodgers were no-hit for the first time since moving to Los Angeles. John ""The Candy Man"" Candelaria tossed the 2-to-0 gem and became the fifth Pittsburgh Pirates pitcher to hurl a no-hit game.",1976
