Year,Statistic,Name,Team,#
1900,Base on Balls,Roy Thomas,Philadelphia,115
1900,Batting Average,Honus Wagner,Pittsburgh,.381
1900,Doubles,Honus Wagner,Pittsburgh,45
1900,Hits,Willie Keeler,Brooklyn,204
1900,Home Runs,Herman Long,Boston,12
1900,On Base Percentage,John McGraw,St. Louis,.505
1900,RBI,Elmer Flick,Philadelphia,110
1900,Runs,Roy Thomas,Philadelphia,132
1900,Slugging Average,Honus Wagner,Pittsburgh,.573
1900,Stolen Bases,Patsy Donovan,St. Louis,45
1900,Total Bases,Honus Wagner,Pittsburgh,302
1900,Triples,Honus Wagner,Pittsburgh,22
1900,Statistic,Name(s),Team(s),#
