Date,Description,Year
April 11,"th, the World Champion Boston Red Sox suffered an embarrassing 1-0 loss during an exhibition game against the young men from Boston College.",1916
May 9,"th, the Philadelphia Athletics and Detroit Tigers combined to set a Major League record with thirty walks during a 16-2, ""Motor City"" win. Eighteen were issued by the A's, (who went on to finish the season with 715). Detroit added eleven more the following day for a two-game Major League record of twenty-nine.",1916
June 22,"nd, the Boston Braves pulled off the only National League extra-inning triple steal to beat the New York Giants 3-1 in the eleventh. In 1941, the American League would match the feat with their only recorded triple swipe.",1916
April 20,", The Chicago Cubs played their first game in Weeghman Park and won versus the Cincinnati Reds 7-6. The ballpark would be more commonly referred to as Cubs Park and in 1926 it would officially change its name to Wrigley Field.",1916
