Year,Statistic,Name,Team,#
1953,Base on Balls,Stan Musial,St. Louis,105
1953,Batting Average,Carl Furillo,Brooklyn,.344
1953,Doubles,Stan Musial,St. Louis,53
1953,Hits,Richie Ashburn,Philadelphia,205
1953,Home Runs,Eddie Mathews,Milwaukee,47
1953,On Base Percentage,Stan Musial,St. Louis,.437
1953,RBI,Roy Campanella,Brooklyn,142
1953,Runs,Duke Snider,Brooklyn,132
1953,Slugging Average,Duke Snider,Brooklyn,.627
1953,Stolen Bases,Bill Bruton,Milwaukee,26
1953,Total Bases,Duke Snider,Brooklyn,370
1953,Triples,Jim Gilliam,Brooklyn,17
1953,Statistic,Name(s),Team(s),#
